item_name,full_price,new_price,discount,amount_saved,category
brancott estate sparkling sauvignon blanc,Was $13.99, $ 12 00 ,Save $1.99,14.22,Beer & Wine
taylors promised land merlot,Was $13.99, $ 12 00 ,Save $1.99,14.22,Beer & Wine
taylors promised land cabernet sauvignon,Was $13.99, $ 12 00 ,Save $1.99,14.22,Beer & Wine
taylors promised land pinot noir,Was $13.99, $ 12 00 ,Save $1.99,14.22,Beer & Wine
taylors promised land shiraz cabernet,Was $13.99, $ 12 00 ,Save $1.99,14.22,Beer & Wine
lemsip liquid medicine dry cough,Was $13.99, $ 12 00 ,Save $1.99,14.22,Unknown
brancott estate sauvignon blanc,Was $13.99, $ 12 00 ,Save $1.99,14.22,Beer & Wine
brancott estate sparkling brut cuvee,Was $13.99, $ 12 00 ,Save $1.99,14.22,Beer & Wine
brancott estate pinot gris,Was $13.99, $ 12 00 ,Save $1.99,14.22,Beer & Wine
brancott estate merlot,Was $13.99, $ 12 00 ,Save $1.99,14.22,Beer & Wine
brancott estate chardonnay,Was $13.99, $ 12 00 ,Save $1.99,14.22,Beer & Wine
taylors promised land shiraz,Was $13.99, $ 12 00 ,Save $1.99,14.22,Beer & Wine
brancott estate pinot noir,Was $13.99, $ 12 00 ,Save $1.99,14.22,Beer & Wine
red seal ginkgo brain alert,Was $13.99, $ 12 00 ,Save $1.99,14.22,Unknown
whitecliff pinot gris,Was $10.49, $ 9 00 ,Save $1.49,14.2,Beer & Wine
whitecliff varietals merlot,Was $10.49, $ 9 00 ,Save $1.49,14.2,Beer & Wine
whitecliff varietals pinot noir,Was $10.49, $ 9 00 ,Save $1.49,14.2,Beer & Wine
whitecliff chardonnay,Was $10.49, $ 9 00 ,Save $1.49,14.2,Beer & Wine
difflam soothing & immune support honey lemon drops,Was $6.99, $ 6 00 ,Save $0.99,14.16,Unknown
listerine mouthwash total care,Was $6.99, $ 6 00 ,Save $0.99,14.16,Health & Body
gillette blue plus pivot disposable shavers sensitive,Was $6.99, $ 6 00 ,Save $0.99,14.16,Unknown
difflam soothing & immune support black elderberry drops,Was $6.99, $ 6 00 ,Save $0.99,14.16,Unknown
difflam soothing & immune support menthol eucalyptus drops,Was $6.99, $ 6 00 ,Save $0.99,14.16,Unknown
mutt butter dog treats carob coated peanuts,Was $6.99, $ 6 00 ,Save $0.99,14.16,Fridge & Deli
queen anne marshmallow fish bites chocolate strawberry,Was $9.90, $ 8 50 ,Save $1.40,14.14,Pantry
rana fresh pasta chilled tortellini ricotta & spinach,Was $9.90, $ 8 50 ,Save $1.40,14.14,Pantry
